PetId,EnrollDate,CancelDate,Species,Breed,AgeAtEnroll
2790,2019-01-15,,Cat,Mixed Breed,1 year old
2791,2012-11-29,2017-05-11,Cat,Mixed Breed,11 years old
2792,2016-04-30,,Cat,Mixed Breed,8 weeks to 12 months old
2793,2014-10-17,2015-07-06,Cat,Mixed Breed,8 weeks to 12 months old
2794,2015-08-31,2017-06-27,Cat,Mixed Breed,8 years old
2795,2018-11-30,,Dog,Chihuahua,4 years old
2796,2015-05-23,2019-07-04,Dog,Golden Retriever,8 weeks to 12 months old
2797,2014-05-22,,Dog,Mixed Breed,3 years old
2798,2012-09-13,,Dog,Golden Retriever,8 weeks to 12 months old
2799,2016-10-20,,Dog,Mixed Breed,9 years old
2800,2010-02-01,2016-02-16,Dog,Mixed Breed,8 weeks to 12 months old
2801,2010-06-23,2012-01-09,Dog,Mixed Breed,8 weeks to 12 months old
2802,2012-04-19,,Dog,Mixed Breed,8 weeks to 12 months old
2803,2017-09-10,,Cat,Mixed Breed,8 weeks to 12 months old
2804,2017-09-29,2018-01-25,Cat,Mixed Breed,8 years old
2805,2015-04-28,2018-01-02,Cat,Mixed Breed,12 years old
2806,2011-09-13,,Cat,Mixed Breed,8 weeks to 12 months old
2807,2019-02-07,,Dog,Chihuahua,1 year old
2808,2019-07-30,,Cat,Mixed Breed,2 years old
2809,2010-02-26,2015-05-04,Dog,Mixed Breed,9 years old
2810,2016-09-01,,Cat,Mixed Breed,8 weeks to 12 months old
2811,2014-06-26,2014-07-31,Dog,Mixed Breed,5 years old
2812,2014-07-16,2014-08-27,Cat,Mixed Breed,8 weeks to 12 months old
2813,2016-02-29,,Cat,Mixed Breed,8 weeks to 12 months old
2814,2017-05-25,2017-09-22,Cat,Mixed Breed,2 years old
2815,2015-02-10,2017-02-21,Dog,French Bulldog,8 weeks to 12 months old
2816,2011-06-17,2012-04-13,Dog,Mixed Breed,8 weeks to 12 months old
2817,2017-11-25,2018-01-09,Dog,Mixed Breed,8 weeks to 12 months old
2818,2015-04-17,2015-10-17,Dog,Mixed Breed,8 weeks to 12 months old
2819,2013-11-24,2016-11-30,Cat,Mixed Breed,9 years old
2820,2014-11-21,,Cat,Mixed Breed,8 weeks to 12 months old
2821,2017-09-01,2017-09-10,Cat,Mixed Breed,2 years old
2822,2016-03-20,,Dog,Mixed Breed,8 weeks to 12 months old
2823,2017-12-11,2018-07-26,Cat,Mixed Breed,8 weeks to 12 months old
2824,2019-01-14,,Dog,Golden Retriever,1 year old
2825,2016-07-06,2018-06-05,Dog,Mixed Breed,8 years old
2826,2009-11-24,2011-09-07,Dog,Mixed Breed,8 weeks to 12 months old
2827,2018-07-31,2019-04-02,Cat,Mixed Breed,12 years old
2828,2013-06-13,2013-10-31,Cat,Mixed Breed,6 years old
2829,2014-08-20,,Dog,Mixed Breed,6 years old
2830,2016-05-01,2019-10-05,Dog,Chihuahua,12 years old
2831,2011-12-09,2012-10-03,Dog,Mixed Breed,2 years old
2832,2015-07-23,,Cat,Mixed Breed,8 years old
2833,2014-10-02,2018-04-16,Dog,Mixed Breed,5 years old
2834,2013-05-11,2017-01-21,Dog,French Bulldog,3 years old
2835,2014-08-29,2017-03-01,Cat,Mixed Breed,10 years old
2836,2015-01-26,2015-03-27,Cat,Mixed Breed,8 weeks to 12 months old
2837,2013-05-01,2015-01-29,Cat,Mixed Breed,2 years old
2838,2014-01-21,2015-06-23,Cat,Mixed Breed,2 years old
2839,2011-12-28,2014-01-02,Dog,Mixed Breed,1 year old
2840,2015-06-26,,Cat,Mixed Breed,8 weeks to 12 months old
2841,2018-03-25,2018-05-01,Cat,Mixed Breed,2 years old
2842,2013-05-01,,Cat,Mixed Breed,1 year old
2843,2018-03-16,2018-05-17,Cat,Mixed Breed,8 weeks to 12 months old
2844,2016-08-13,,Dog,Chihuahua,11 years old
2845,2012-11-28,,Dog,Mixed Breed,1 year old
2846,2017-08-23,,Cat,Mixed Breed,8 weeks to 12 months old
2847,2018-05-26,,Dog,French Bulldog,8 weeks to 12 months old
2848,2016-06-08,2017-03-17,Dog,Mixed Breed,8 weeks to 12 months old
2849,2015-09-12,2016-06-14,Dog,Mixed Breed,8 weeks to 12 months old
2850,2015-08-25,,Dog,Chihuahua,5 years old
2851,2014-01-02,2014-03-19,Dog,Mixed Breed,9 years old
2852,2015-01-15,2018-10-30,Dog,Mixed Breed,8 weeks to 12 months old
2853,2016-02-26,,Dog,Mixed Breed,8 weeks to 12 months old
2854,2019-03-21,,Dog,Golden Retriever,1 year old
2855,2015-06-11,2018-09-22,Cat,Mixed Breed,8 years old
2856,2013-04-06,2017-08-09,Dog,Mixed Breed,8 weeks to 12 months old
2857,2010-10-05,,Cat,Mixed Breed,8 weeks to 12 months old
2858,2015-07-02,2016-10-20,Dog,Chihuahua,8 weeks to 12 months old
2859,2016-09-18,2019-09-19,Dog,Mixed Breed,8 weeks to 12 months old
2860,2015-08-19,2017-01-31,Cat,Mixed Breed,8 weeks to 12 months old
2861,2014-06-17,2016-07-28,Dog,Mixed Breed,8 weeks to 12 months old
2862,2012-08-27,2013-10-08,Dog,Mixed Breed,8 weeks to 12 months old
2863,2016-11-07,,Dog,Mixed Breed,8 weeks to 12 months old
2864,2014-06-28,2018-05-26,Dog,French Bulldog,8 weeks to 12 months old
2865,2014-08-04,,Dog,Golden Retriever,8 weeks to 12 months old
2866,2013-11-06,,Cat,Mixed Breed,11 years old
2867,2018-05-25,,Cat,Mixed Breed,1 year old
2868,2013-07-08,,Dog,Mixed Breed,8 weeks to 12 months old
2869,2013-12-23,2015-10-13,Cat,Mixed Breed,2 years old
2870,2016-06-15,,Dog,Mixed Breed,8 weeks to 12 months old
2871,2016-12-19,2018-07-31,Dog,Mixed Breed,8 weeks to 12 months old
2872,2013-09-13,2016-06-01,Dog,Mixed Breed,8 years old
2873,2016-07-20,,Cat,Ragdoll,8 weeks to 12 months old
2874,2019-03-11,2019-03-21,Cat,Mixed Breed,8 weeks to 12 months old
2875,2011-04-11,2014-08-12,Dog,Mixed Breed,4 years old
2876,2019-04-05,,Cat,Mixed Breed,9 years old
2877,2011-01-01,2015-08-29,Cat,Mixed Breed,5 years old
2878,2014-12-31,,Dog,Chihuahua,1 year old
2879,2019-11-03,,Cat,Mixed Breed,7 years old
2880,2014-12-04,,Cat,Mixed Breed,8 weeks to 12 months old
2881,2018-10-20,,Dog,Golden Retriever,8 weeks to 12 months old
2882,2013-05-17,,Cat,Mixed Breed,5 years old
2883,2015-07-14,2019-07-03,Cat,Mixed Breed,5 years old
2884,2019-11-08,,Cat,Mixed Breed,8 weeks to 12 months old
2885,2012-04-26,2015-01-12,Dog,Golden Retriever,1 year old
2886,2013-08-12,2019-01-08,Dog,Mixed Breed,8 weeks to 12 months old
2887,2015-08-04,2018-01-03,Dog,Mixed Breed,6 years old
2888,2014-07-22,,Dog,Mixed Breed,5 years old
2889,2015-10-05,,Dog,Mixed Breed,8 weeks to 12 months old
2890,2011-08-07,,Dog,Mixed Breed,8 weeks to 12 months old
2891,2012-04-17,,Dog,Mixed Breed,8 weeks to 12 months old
2892,2013-05-27,2016-07-28,Dog,Mixed Breed,8 weeks to 12 months old
2893,2018-07-07,,Dog,Golden Retriever,8 weeks to 12 months old
2894,2017-09-02,,Cat,Mixed Breed,2 years old
2895,2015-12-31,2016-11-20,Dog,Mixed Breed,8 weeks to 12 months old
2896,2012-03-21,,Dog,Mixed Breed,1 year old
2897,2014-04-30,2018-09-17,Dog,Mixed Breed,8 weeks to 12 months old
2898,2016-06-18,,Dog,Mixed Breed,8 weeks to 12 months old
2899,2018-09-11,,Cat,Mixed Breed,6 years old
2900,2015-10-12,2016-04-15,Dog,Mixed Breed,3 years old
2901,2012-03-07,2018-01-27,Cat,Mixed Breed,5 years old
2902,2017-03-29,,Dog,Golden Retriever,8 weeks to 12 months old
2903,2019-07-23,,Cat,Mixed Breed,5 years old
2904,2018-02-28,,Dog,Mixed Breed,8 weeks to 12 months old
2905,2016-05-07,2017-03-20,Cat,Mixed Breed,4 years old
2906,2017-12-27,2018-11-21,Dog,Golden Retriever,8 weeks to 12 months old
2907,2015-02-11,,Cat,Mixed Breed,2 years old
2908,2011-01-13,,Dog,Chihuahua,8 weeks to 12 months old
2909,2015-03-27,,Dog,Mixed Breed,8 weeks to 12 months old
2910,2018-02-28,2018-03-05,Dog,Golden Retriever,8 weeks to 12 months old
2911,2015-06-08,2017-04-28,Dog,Mixed Breed,6 years old
2912,2014-06-30,,Cat,Mixed Breed,8 weeks to 12 months old
2913,2016-02-27,,Dog,Mixed Breed,8 weeks to 12 months old
2914,2016-11-24,2017-06-01,Dog,Mixed Breed,3 years old
2915,2019-09-12,2019-09-12,Dog,French Bulldog,1 year old
2916,2014-08-08,,Dog,Mixed Breed,8 weeks to 12 months old
2917,2017-05-19,2017-10-16,Cat,Mixed Breed,12 years old
2918,2017-08-29,2019-03-11,Cat,Mixed Breed,1 year old
2919,2013-05-23,2018-07-19,Cat,Mixed Breed,1 year old
2920,2011-05-27,2011-09-23,Dog,Mixed Breed,2 years old
2921,2010-02-25,2010-11-23,Dog,Golden Retriever,2 years old
2922,2011-07-21,,Dog,French Bulldog,8 weeks to 12 months old
2923,2018-06-23,2019-04-17,Dog,French Bulldog,8 weeks to 12 months old
2924,2015-09-04,,Dog,Mixed Breed,8 weeks to 12 months old
2925,2011-12-13,2013-07-26,Dog,Mixed Breed,7 years old
2926,2016-10-03,2019-05-22,Dog,Mixed Breed,4 years old
2927,2016-10-01,,Dog,Mixed Breed,1 year old
2928,2015-11-07,,Cat,Mixed Breed,8 years old
2929,2019-06-06,,Cat,Mixed Breed,0-7 weeks old
2930,2015-11-25,,Dog,Mixed Breed,4 years old
2931,2019-10-04,,Cat,Mixed Breed,8 weeks to 12 months old
2932,2011-07-23,2014-09-26,Cat,Mixed Breed,8 weeks to 12 months old
2933,2018-11-17,,Cat,Mixed Breed,8 weeks to 12 months old
2934,2011-09-08,2014-05-15,Dog,Mixed Breed,8 weeks to 12 months old
2935,2018-09-27,,Cat,Mixed Breed,8 weeks to 12 months old
2936,2012-08-10,2016-07-07,Dog,Mixed Breed,12 years old
2937,2014-04-08,2015-01-28,Dog,Mixed Breed,2 years old
2938,2016-11-18,2017-10-20,Dog,Mixed Breed,8 weeks to 12 months old
2939,2013-08-22,,Cat,Mixed Breed,8 weeks to 12 months old
2940,2018-10-02,,Cat,Mixed Breed,8 weeks to 12 months old
2941,2018-04-18,2018-06-25,Cat,Mixed Breed,7 years old
2942,2011-01-05,,Cat,Mixed Breed,8 weeks to 12 months old
2943,2016-04-03,,Cat,Mixed Breed,1 year old
2944,2011-06-28,,Cat,Mixed Breed,8 weeks to 12 months old
2945,2014-03-18,2016-01-23,Cat,Mixed Breed,10 years old
2946,2015-08-24,,Dog,Mixed Breed,3 years old
2947,2016-12-04,,Cat,Mixed Breed,9 years old
2948,2015-12-03,2015-12-11,Dog,Mixed Breed,7 years old
2949,2015-04-30,2015-09-01,Dog,Mixed Breed,1 year old
2950,2017-09-14,,Cat,Mixed Breed,8 weeks to 12 months old
2951,2018-06-06,,Dog,Golden Retriever,8 weeks to 12 months old
2952,2016-10-15,,Cat,Mixed Breed,3 years old
2953,2019-04-27,,Dog,Mixed Breed,8 weeks to 12 months old
2954,2011-11-22,2012-07-30,Cat,Mixed Breed,9 years old
2955,2014-02-18,2014-06-03,Dog,Mixed Breed,3 years old
2956,2015-11-17,,Cat,Mixed Breed,3 years old
2957,2018-09-27,2018-10-29,Cat,Mixed Breed,4 years old
2958,2015-03-09,,Dog,Mixed Breed,8 weeks to 12 months old
2959,2016-08-02,2016-08-23,Cat,Ragdoll,8 weeks to 12 months old
2960,2015-06-29,2015-07-23,Cat,Mixed Breed,3 years old
2961,2010-05-04,2013-03-25,Cat,Mixed Breed,2 years old
2962,2019-09-20,,Cat,Ragdoll,8 weeks to 12 months old
2963,2012-03-21,,Cat,Mixed Breed,8 weeks to 12 months old
2964,2018-10-01,,Cat,Mixed Breed,8 weeks to 12 months old
2965,2014-07-07,,Dog,Mixed Breed,4 years old
2966,2011-05-09,,Dog,Mixed Breed,8 weeks to 12 months old
2967,2013-08-17,2016-01-18,Dog,Mixed Breed,8 weeks to 12 months old
2968,2010-01-19,2019-01-17,Dog,Great Dane,8 weeks to 12 months old
2969,2013-01-18,2019-10-17,Dog,Mixed Breed,4 years old
2970,2016-05-28,,Dog,Mixed Breed,7 years old
2971,2012-05-10,2014-04-10,Dog,Mixed Breed,7 years old
2972,2014-08-15,2019-06-05,Cat,Mixed Breed,8 weeks to 12 months old
2973,2012-02-26,,Dog,Mixed Breed,2 years old
2974,2011-05-21,,Dog,Golden Retriever,8 weeks to 12 months old
2975,2013-12-12,2015-04-15,Dog,Mixed Breed,8 weeks to 12 months old
2976,2018-11-23,2019-10-31,Cat,Mixed Breed,8 weeks to 12 months old
2977,2015-05-31,2017-04-07,Dog,Mixed Breed,8 weeks to 12 months old
2978,2009-12-16,2012-04-13,Dog,Mixed Breed,1 year old
2979,2019-06-09,,Dog,French Bulldog,8 weeks to 12 months old
2980,2016-03-15,2019-09-08,Cat,Mixed Breed,4 years old
2981,2012-06-10,,Dog,Mixed Breed,7 years old
2982,2010-06-15,2017-08-10,Cat,Mixed Breed,8 weeks to 12 months old
2983,2014-03-24,2016-10-28,Cat,Mixed Breed,8 weeks to 12 months old
2984,2013-09-29,,Dog,Golden Retriever,8 weeks to 12 months old
2985,2014-10-12,,Cat,Mixed Breed,5 years old
2986,2012-03-19,2012-04-20,Dog,Mixed Breed,1 year old
2987,2019-05-10,2019-06-19,Cat,Mixed Breed,0-7 weeks old
2988,2014-07-01,,Dog,Mixed Breed,2 years old
2989,2010-03-16,2010-04-08,Dog,Mixed Breed,8 weeks to 12 months old
2990,2015-11-03,,Cat,Mixed Breed,8 years old
2991,2015-02-28,,Dog,Chihuahua,5 years old
2992,2017-12-23,2018-02-03,Cat,Mixed Breed,4 years old
2993,2017-11-06,,Cat,Mixed Breed,8 weeks to 12 months old
2994,2016-02-08,,Dog,Mixed Breed,8 weeks to 12 months old
2995,2014-09-27,2015-07-24,Cat,Mixed Breed,8 weeks to 12 months old
2996,2019-11-14,2019-11-18,Dog,Mixed Breed,8 weeks to 12 months old
2997,2010-12-09,,Dog,Mixed Breed,8 weeks to 12 months old
2998,2015-06-29,,Dog,Mixed Breed,8 weeks to 12 months old
2999,2011-06-21,2017-03-09,Dog,Golden Retriever,5 years old
3000,2017-03-07,,Cat,Mixed Breed,8 weeks to 12 months old
3001,2014-07-16,2017-06-28,Cat,Mixed Breed,2 years old
3002,2019-06-06,,Cat,Mixed Breed,8 weeks to 12 months old
3003,2014-07-03,2015-12-30,Dog,Mixed Breed,8 weeks to 12 months old
3004,2016-09-14,2017-01-07,Cat,Mixed Breed,8 weeks to 12 months old
3005,2018-08-29,,Cat,Mixed Breed,8 weeks to 12 months old
3006,2011-03-01,2013-01-28,Dog,Mixed Breed,3 years old
3007,2014-04-19,2014-05-12,Cat,Mixed Breed,10 years old
3008,2015-01-09,,Dog,Mixed Breed,5 years old
3009,2012-12-17,,Dog,Mixed Breed,2 years old
3010,2014-06-25,2017-12-20,Dog,Mixed Breed,3 years old
3011,2015-02-03,2015-03-13,Dog,Mixed Breed,8 weeks to 12 months old
3012,2018-03-20,,Dog,Chihuahua,8 weeks to 12 months old
3013,2015-04-19,,Dog,Mixed Breed,8 weeks to 12 months old
3014,2010-12-19,,Cat,Mixed Breed,1 year old
3015,2011-02-24,,Dog,Mixed Breed,8 weeks to 12 months old
3016,2015-07-19,,Dog,Mixed Breed,8 weeks to 12 months old
3017,2011-02-04,2012-01-10,Cat,Mixed Breed,8 weeks to 12 months old
3018,2015-05-12,,Dog,Great Dane,8 weeks to 12 months old
3019,2010-02-19,2011-10-31,Dog,Chihuahua,6 years old
3020,2016-05-14,,Cat,Mixed Breed,1 year old
3021,2019-01-22,,Dog,Chihuahua,3 years old
3022,2013-04-08,,Dog,Mixed Breed,7 years old
3023,2014-03-01,2016-11-03,Dog,Mixed Breed,7 years old
3024,2019-08-26,,Dog,Golden Retriever,8 weeks to 12 months old
3025,2016-07-15,2016-07-15,Cat,Mixed Breed,13 years old
3026,2011-07-15,2014-02-20,Dog,Mixed Breed,2 years old
3027,2016-10-28,2016-12-02,Cat,Mixed Breed,10 years old
3028,2015-06-05,,Dog,Mixed Breed,5 years old
3029,2016-06-01,,Dog,Mixed Breed,8 weeks to 12 months old
3030,2014-11-20,2015-07-31,Dog,Mixed Breed,5 years old
3031,2014-05-13,,Dog,Golden Retriever,2 years old
3032,2018-09-07,,Cat,Ragdoll,8 weeks to 12 months old
3033,2016-04-13,2017-02-09,Cat,Mixed Breed,8 weeks to 12 months old
3034,2015-02-20,2016-09-10,Dog,Mixed Breed,7 years old
3035,2015-10-15,2016-09-20,Dog,Mixed Breed,8 weeks to 12 months old
3036,2010-04-20,2014-07-07,Cat,Mixed Breed,8 weeks to 12 months old
3037,2016-11-11,,Dog,Mixed Breed,8 weeks to 12 months old
3038,2015-12-09,2015-12-10,Dog,Mixed Breed,2 years old
3039,2011-12-15,2014-07-15,Dog,Great Dane,8 weeks to 12 months old
3040,2012-04-20,2012-04-20,Dog,Mixed Breed,8 weeks to 12 months old
3041,2018-02-08,,Cat,Mixed Breed,8 weeks to 12 months old
3042,2016-08-14,,Dog,Chihuahua,11 years old
3043,2014-04-09,2017-11-26,Dog,Mixed Breed,8 weeks to 12 months old
3044,2014-08-01,2016-01-18,Cat,Mixed Breed,12 years old
3045,2017-03-28,2018-05-22,Dog,Chihuahua,8 weeks to 12 months old
3046,2019-03-01,2019-03-20,Cat,Mixed Breed,8 weeks to 12 months old
3047,2010-05-25,2014-07-28,Dog,Mixed Breed,8 weeks to 12 months old
3048,2011-07-22,,Dog,French Bulldog,1 year old
3049,2019-07-29,,Dog,Golden Retriever,1 year old
3050,2014-02-15,,Dog,Mixed Breed,8 weeks to 12 months old
3051,2016-12-05,2018-01-24,Dog,Golden Retriever,8 weeks to 12 months old
3052,2013-02-12,2013-07-03,Cat,Mixed Breed,1 year old
3053,2016-07-06,2017-12-21,Dog,Chihuahua,8 years old
3054,2018-12-14,2019-11-11,Cat,Mixed Breed,8 weeks to 12 months old
3055,2019-01-04,,Cat,Mixed Breed,8 weeks to 12 months old
3056,2019-10-29,,Cat,Mixed Breed,1 year old
3057,2016-07-13,,Cat,Mixed Breed,8 weeks to 12 months old
3058,2013-12-29,2014-07-30,Cat,Mixed Breed,8 weeks to 12 months old
3059,2018-04-25,,Dog,Mixed Breed,8 weeks to 12 months old
3060,2013-03-07,,Cat,Mixed Breed,8 weeks to 12 months old
3061,2018-11-04,,Cat,Mixed Breed,6 years old
3062,2014-04-15,2018-09-06,Cat,Mixed Breed,3 years old
3063,2010-09-23,2018-12-25,Dog,Mixed Breed,8 weeks to 12 months old
3064,2013-10-08,2018-08-08,Cat,Mixed Breed,3 years old
3065,2019-02-28,2019-10-24,Dog,Golden Retriever,8 weeks to 12 months old
3066,2013-06-19,2013-12-10,Dog,Chihuahua,10 years old
3067,2013-04-23,,Cat,Mixed Breed,3 years old
3068,2017-12-21,,Cat,Mixed Breed,2 years old
3069,2017-04-12,2017-05-04,Dog,Golden Retriever,8 weeks to 12 months old
3070,2018-09-29,,Cat,Mixed Breed,2 years old
3071,2018-05-20,2019-03-20,Dog,Mixed Breed,2 years old
3072,2011-12-09,2014-10-13,Cat,Mixed Breed,10 years old
3073,2014-05-05,,Dog,Mixed Breed,6 years old
3074,2019-03-21,,Cat,Mixed Breed,10 years old
3075,2015-04-18,2016-10-15,Dog,Mixed Breed,1 year old
3076,2019-06-09,,Dog,Chihuahua,8 years old
3077,2012-06-02,,Cat,Mixed Breed,1 year old
3078,2019-07-08,,Dog,French Bulldog,8 weeks to 12 months old
3079,2015-06-12,2015-06-15,Dog,Mixed Breed,5 years old
3080,2015-01-03,2015-01-30,Cat,Mixed Breed,7 years old
3081,2013-07-05,2017-08-21,Cat,Mixed Breed,13 years old
3082,2014-03-12,,Dog,Mixed Breed,8 weeks to 12 months old
3083,2014-05-28,2016-11-25,Dog,Mixed Breed,8 weeks to 12 months old
3084,2019-03-17,2019-07-08,Dog,Mixed Breed,8 weeks to 12 months old
3085,2013-06-10,,Dog,Mixed Breed,8 weeks to 12 months old
3086,2015-07-03,,Dog,Chihuahua,7 years old
3087,2016-08-26,,Dog,Mixed Breed,8 years old
3088,2015-09-07,,Dog,Mixed Breed,8 weeks to 12 months old
3089,2012-12-26,2013-01-22,Dog,Mixed Breed,8 weeks to 12 months old
3090,2012-12-24,2014-03-28,Dog,French Bulldog,8 weeks to 12 months old
3091,2013-09-07,2019-08-07,Dog,Mixed Breed,8 weeks to 12 months old
3092,2016-06-03,,Dog,Mixed Breed,8 weeks to 12 months old
3093,2017-06-20,2019-03-20,Dog,Golden Retriever,12 years old
3094,2016-07-16,,Cat,Mixed Breed,2 years old
3095,2015-05-26,,Dog,Mixed Breed,1 year old
3096,2014-05-14,,Cat,Mixed Breed,5 years old
3097,2018-04-27,,Cat,Mixed Breed,8 weeks to 12 months old
3098,2013-10-11,,Dog,Mixed Breed,8 weeks to 12 months old
3099,2018-01-23,,Cat,Mixed Breed,4 years old
3100,2010-05-17,2013-03-29,Dog,Mixed Breed,1 year old
3101,2019-07-15,,Cat,Mixed Breed,6 years old
3102,2016-01-22,2017-03-23,Dog,Golden Retriever,8 weeks to 12 months old
3103,2018-12-01,2019-03-18,Cat,Mixed Breed,8 weeks to 12 months old
3104,2012-03-10,,Dog,Mixed Breed,2 years old
3105,2013-12-11,2016-11-18,Dog,Mixed Breed,8 weeks to 12 months old
3106,2015-09-02,,Dog,Mixed Breed,8 weeks to 12 months old
3107,2013-07-15,2019-10-02,Dog,Golden Retriever,3 years old
3108,2011-08-29,2012-07-03,Dog,Mixed Breed,2 years old
3109,2019-04-08,,Dog,Golden Retriever,8 weeks to 12 months old
3110,2016-04-26,,Dog,Mixed Breed,8 weeks to 12 months old
3111,2017-05-19,,Dog,Chihuahua,8 weeks to 12 months old
3112,2015-09-21,,Dog,Golden Retriever,6 years old
3113,2012-02-26,,Dog,Mixed Breed,8 weeks to 12 months old
3114,2012-10-16,,Dog,Mixed Breed,3 years old
3115,2015-12-09,2016-11-14,Dog,Mixed Breed,1 year old
3116,2019-02-21,,Cat,Mixed Breed,8 weeks to 12 months old
3117,2017-05-13,2017-07-11,Cat,Mixed Breed,4 years old
3118,2011-02-12,2012-08-10,Dog,Mixed Breed,8 weeks to 12 months old
3119,2018-03-10,,Dog,Golden Retriever,5 years old
3120,2016-11-07,2016-12-09,Cat,Mixed Breed,7 years old
3121,2014-07-05,2014-09-16,Cat,Mixed Breed,3 years old
3122,2015-12-27,,Cat,Mixed Breed,8 weeks to 12 months old
3123,2014-06-08,2014-12-01,Dog,Mixed Breed,3 years old
3124,2017-10-03,,Cat,Mixed Breed,8 weeks to 12 months old
3125,2018-09-20,,Cat,Mixed Breed,8 weeks to 12 months old
3126,2019-06-28,,Cat,Mixed Breed,2 years old
3127,2011-10-21,2012-05-31,Dog,Mixed Breed,1 year old
3128,2012-12-28,,Dog,Golden Retriever,8 weeks to 12 months old
3129,2016-12-22,,Dog,Golden Retriever,1 year old
3130,2019-02-09,2019-11-18,Dog,Golden Retriever,1 year old
3131,2013-06-30,,Dog,Mixed Breed,4 years old
3132,2018-04-17,,Dog,Chihuahua,8 weeks to 12 months old
3133,2018-10-12,,Dog,Mixed Breed,8 weeks to 12 months old
3134,2015-07-08,2016-09-13,Dog,Mixed Breed,5 years old
3135,2014-02-10,2014-04-08,Dog,Mixed Breed,7 years old
3136,2013-09-01,2015-11-20,Dog,Mixed Breed,8 weeks to 12 months old
3137,2013-05-04,2013-06-07,Dog,Mixed Breed,1 year old
3138,2014-05-18,,Cat,Mixed Breed,11 years old
3139,2016-12-03,2016-12-03,Cat,Mixed Breed,4 years old
3140,2017-01-17,2017-03-11,Cat,Mixed Breed,8 weeks to 12 months old
3141,2010-04-06,2010-12-10,Dog,Golden Retriever,8 weeks to 12 months old
3142,2017-07-31,,Dog,Golden Retriever,2 years old
3143,2009-12-18,2014-06-11,Dog,Mixed Breed,2 years old
3144,2017-07-20,,Cat,Mixed Breed,5 years old
3145,2017-08-14,2018-07-19,Dog,Golden Retriever,8 weeks to 12 months old
3146,2010-07-12,2014-03-19,Dog,Mixed Breed,2 years old
3147,2016-06-07,2017-04-12,Cat,Mixed Breed,8 weeks to 12 months old
3148,2015-08-15,2016-12-06,Dog,Mixed Breed,1 year old
3149,2011-09-21,,Dog,Mixed Breed,8 weeks to 12 months old
3150,2015-05-31,2015-08-05,Dog,Mixed Breed,6 years old
3151,2018-02-14,,Dog,Golden Retriever,8 weeks to 12 months old
3152,2018-09-03,2019-04-30,Cat,Mixed Breed,4 years old
3153,2013-01-11,2016-01-28,Cat,Mixed Breed,9 years old
3154,2019-10-21,,Dog,Golden Retriever,8 weeks to 12 months old
3155,2018-12-03,,Cat,Mixed Breed,8 weeks to 12 months old
3156,2013-04-23,,Cat,Mixed Breed,2 years old
3157,2013-04-04,2017-09-13,Dog,Mixed Breed,7 years old
3158,2018-02-05,,Dog,Golden Retriever,8 weeks to 12 months old
3159,2016-04-01,2017-06-20,Cat,Mixed Breed,4 years old
3160,2019-02-19,,Cat,Mixed Breed,4 years old
3161,2015-12-27,2016-01-23,Cat,Mixed Breed,8 weeks to 12 months old
3162,2017-11-05,,Dog,Chihuahua,4 years old
3163,2015-05-04,,Dog,Mixed Breed,8 weeks to 12 months old
3164,2015-02-26,2016-06-10,Dog,Mixed Breed,4 years old
3165,2019-08-16,2019-10-26,Cat,Mixed Breed,8 years old
3166,2017-03-08,,Dog,Chihuahua,8 weeks to 12 months old
3167,2016-02-16,,Cat,Mixed Breed,2 years old
3168,2012-05-21,,Dog,Mixed Breed,8 weeks to 12 months old
3169,2017-03-09,2017-10-23,Cat,Mixed Breed,1 year old
3170,2012-12-05,2017-12-26,Dog,Mixed Breed,8 weeks to 12 months old
3171,2016-07-30,,Dog,Mixed Breed,8 weeks to 12 months old
3172,2018-05-30,2019-03-08,Dog,French Bulldog,8 weeks to 12 months old
3173,2015-12-04,,Cat,Mixed Breed,5 years old
3174,2019-02-21,,Dog,French Bulldog,8 weeks to 12 months old
3175,2016-07-11,2016-12-09,Cat,Mixed Breed,3 years old
3176,2019-02-21,,Cat,Mixed Breed,5 years old
3177,2012-05-22,,Dog,Mixed Breed,1 year old
3178,2017-03-01,,Dog,French Bulldog,8 weeks to 12 months old
3179,2013-12-16,2014-03-05,Dog,Mixed Breed,8 weeks to 12 months old
3180,2015-02-06,2016-03-07,Cat,Mixed Breed,7 years old
3181,2016-05-04,,Dog,Golden Retriever,8 weeks to 12 months old
3182,2019-01-22,,Cat,Mixed Breed,4 years old
3183,2018-08-21,,Cat,Mixed Breed,4 years old
3184,2011-05-18,2011-10-31,Dog,Mixed Breed,5 years old
3185,2017-12-18,,Dog,French Bulldog,1 year old
3186,2011-07-21,2012-02-13,Dog,Chihuahua,8 weeks to 12 months old
3187,2018-09-10,,Dog,Golden Retriever,2 years old
3188,2011-08-02,2011-11-08,Dog,Mixed Breed,8 weeks to 12 months old
3189,2015-01-08,2015-11-15,Dog,Mixed Breed,9 years old
3190,2017-07-29,,Cat,Mixed Breed,8 weeks to 12 months old
3191,2015-07-31,2018-11-23,Dog,Chihuahua,7 years old
3192,2016-09-02,,Dog,Golden Retriever,8 weeks to 12 months old
3193,2012-09-02,,Dog,Mixed Breed,4 years old
3194,2015-09-10,2017-06-22,Cat,Mixed Breed,8 weeks to 12 months old
3195,2019-10-27,,Cat,Mixed Breed,8 weeks to 12 months old
3196,2016-05-13,2017-09-21,Dog,Mixed Breed,1 year old
